week,data_science,first_diff
2020-03-08,69,-10.0
2020-03-15,58,-11.0
2020-03-22,69,11.0
2020-03-29,68,-1.0
2020-04-05,74,6.0
2020-04-12,71,-3.0
2020-04-19,73,2.0
2020-04-26,71,-2.0
2020-05-03,75,4.0
2020-05-10,77,2.0
2020-05-17,72,-5.0
2020-05-24,71,-1.0
2020-05-31,68,-3.0
2020-06-07,74,6.0
2020-06-14,71,-3.0
2020-06-21,68,-3.0
2020-06-28,69,1.0
2020-07-05,74,5.0
2020-07-12,71,-3.0
2020-07-19,72,1.0
2020-07-26,70,-2.0
2020-08-02,70,0.0
2020-08-09,80,10.0
2020-08-16,77,-3.0
