t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
0.0,-2.0,2.0,0.0,-1.0,-1.0,2.0,2.0,-5.0,4.0,-1.0,1.0,-2.0
-2.0,2.0,0.0,-1.0,-1.0,2.0,2.0,-5.0,4.0,-1.0,1.0,-2.0,-7.0
2.0,0.0,-1.0,-1.0,2.0,2.0,-5.0,4.0,-1.0,1.0,-2.0,-7.0,9.0
0.0,-1.0,-1.0,2.0,2.0,-5.0,4.0,-1.0,1.0,-2.0,-7.0,9.0,4.0
-1.0,-1.0,2.0,2.0,-5.0,4.0,-1.0,1.0,-2.0,-7.0,9.0,4.0,1.0
-1.0,2.0,2.0,-5.0,4.0,-1.0,1.0,-2.0,-7.0,9.0,4.0,1.0,1.0
2.0,2.0,-5.0,4.0,-1.0,1.0,-2.0,-7.0,9.0,4.0,1.0,1.0,2.0
2.0,-5.0,4.0,-1.0,1.0,-2.0,-7.0,9.0,4.0,1.0,1.0,2.0,-3.0
-5.0,4.0,-1.0,1.0,-2.0,-7.0,9.0,4.0,1.0,1.0,2.0,-3.0,-1.0
4.0,-1.0,1.0,-2.0,-7.0,9.0,4.0,1.0,1.0,2.0,-3.0,-1.0,2.0
-1.0,1.0,-2.0,-7.0,9.0,4.0,1.0,1.0,2.0,-3.0,-1.0,2.0,1.0
1.0,-2.0,-7.0,9.0,4.0,1.0,1.0,2.0,-3.0,-1.0,2.0,1.0,-1.0
-2.0,-7.0,9.0,4.0,1.0,1.0,2.0,-3.0,-1.0,2.0,1.0,-1.0,-1.0
-7.0,9.0,4.0,1.0,1.0,2.0,-3.0,-1.0,2.0,1.0,-1.0,-1.0,1.0
9.0,4.0,1.0,1.0,2.0,-3.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,0.0
4.0,1.0,1.0,2.0,-3.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,0.0,2.0
1.0,1.0,2.0,-3.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,0.0,2.0,-3.0
1.0,2.0,-3.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,0.0,2.0,-3.0,1.0
2.0,-3.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,0.0,2.0,-3.0,1.0,1.0
-3.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,0.0,2.0,-3.0,1.0,1.0,0.0
-1.0,2.0,1.0,-1.0,-1.0,1.0,0.0,2.0,-3.0,1.0,1.0,0.0,-1.0
2.0,1.0,-1.0,-1.0,1.0,0.0,2.0,-3.0,1.0,1.0,0.0,-1.0,-1.0
1.0,-1.0,-1.0,1.0,0.0,2.0,-3.0,1.0,1.0,0.0,-1.0,-1.0,1.0
-1.0,-1.0,1.0,0.0,2.0,-3.0,1.0,1.0,0.0,-1.0,-1.0,1.0,-2.0
-1.0,1.0,0.0,2.0,-3.0,1.0,1.0,0.0,-1.0,-1.0,1.0,-2.0,1.0
1.0,0.0,2.0,-3.0,1.0,1.0,0.0,-1.0,-1.0,1.0,-2.0,1.0,0.0
0.0,2.0,-3.0,1.0,1.0,0.0,-1.0,-1.0,1.0,-2.0,1.0,0.0,-1.0
2.0,-3.0,1.0,1.0,0.0,-1.0,-1.0,1.0,-2.0,1.0,0.0,-1.0,1.0
-3.0,1.0,1.0,0.0,-1.0,-1.0,1.0,-2.0,1.0,0.0,-1.0,1.0,-1.0
1.0,1.0,0.0,-1.0,-1.0,1.0,-2.0,1.0,0.0,-1.0,1.0,-1.0,3.0
1.0,0.0,-1.0,-1.0,1.0,-2.0,1.0,0.0,-1.0,1.0,-1.0,3.0,-1.0
0.0,-1.0,-1.0,1.0,-2.0,1.0,0.0,-1.0,1.0,-1.0,3.0,-1.0,1.0
-1.0,-1.0,1.0,-2.0,1.0,0.0,-1.0,1.0,-1.0,3.0,-1.0,1.0,1.0
-1.0,1.0,-2.0,1.0,0.0,-1.0,1.0,-1.0,3.0,-1.0,1.0,1.0,-2.0
1.0,-2.0,1.0,0.0,-1.0,1.0,-1.0,3.0,-1.0,1.0,1.0,-2.0,2.0
-2.0,1.0,0.0,-1.0,1.0,-1.0,3.0,-1.0,1.0,1.0,-2.0,2.0,4.0
1.0,0.0,-1.0,1.0,-1.0,3.0,-1.0,1.0,1.0,-2.0,2.0,4.0,-1.0
0.0,-1.0,1.0,-1.0,3.0,-1.0,1.0,1.0,-2.0,2.0,4.0,-1.0,0.0
-1.0,1.0,-1.0,3.0,-1.0,1.0,1.0,-2.0,2.0,4.0,-1.0,0.0,4.0
1.0,-1.0,3.0,-1.0,1.0,1.0,-2.0,2.0,4.0,-1.0,0.0,4.0,0.0
-1.0,3.0,-1.0,1.0,1.0,-2.0,2.0,4.0,-1.0,0.0,4.0,0.0,-4.0
3.0,-1.0,1.0,1.0,-2.0,2.0,4.0,-1.0,0.0,4.0,0.0,-4.0,2.0
-1.0,1.0,1.0,-2.0,2.0,4.0,-1.0,0.0,4.0,0.0,-4.0,2.0,2.0
1.0,1.0,-2.0,2.0,4.0,-1.0,0.0,4.0,0.0,-4.0,2.0,2.0,-2.0
1.0,-2.0,2.0,4.0,-1.0,0.0,4.0,0.0,-4.0,2.0,2.0,-2.0,1.0
-2.0,2.0,4.0,-1.0,0.0,4.0,0.0,-4.0,2.0,2.0,-2.0,1.0,1.0
2.0,4.0,-1.0,0.0,4.0,0.0,-4.0,2.0,2.0,-2.0,1.0,1.0,0.0
4.0,-1.0,0.0,4.0,0.0,-4.0,2.0,2.0,-2.0,1.0,1.0,0.0,1.0
-1.0,0.0,4.0,0.0,-4.0,2.0,2.0,-2.0,1.0,1.0,0.0,1.0,-8.0
0.0,4.0,0.0,-4.0,2.0,2.0,-2.0,1.0,1.0,0.0,1.0,-8.0,4.0
4.0,0.0,-4.0,2.0,2.0,-2.0,1.0,1.0,0.0,1.0,-8.0,4.0,3.0
0.0,-4.0,2.0,2.0,-2.0,1.0,1.0,0.0,1.0,-8.0,4.0,3.0,-1.0
-4.0,2.0,2.0,-2.0,1.0,1.0,0.0,1.0,-8.0,4.0,3.0,-1.0,-5.0
2.0,2.0,-2.0,1.0,1.0,0.0,1.0,-8.0,4.0,3.0,-1.0,-5.0,-5.0
2.0,-2.0,1.0,1.0,0.0,1.0,-8.0,4.0,3.0,-1.0,-5.0,-5.0,9.0
-2.0,1.0,1.0,0.0,1.0,-8.0,4.0,3.0,-1.0,-5.0,-5.0,9.0,3.0
1.0,1.0,0.0,1.0,-8.0,4.0,3.0,-1.0,-5.0,-5.0,9.0,3.0,2.0
1.0,0.0,1.0,-8.0,4.0,3.0,-1.0,-5.0,-5.0,9.0,3.0,2.0,0.0
0.0,1.0,-8.0,4.0,3.0,-1.0,-5.0,-5.0,9.0,3.0,2.0,0.0,2.0
1.0,-8.0,4.0,3.0,-1.0,-5.0,-5.0,9.0,3.0,2.0,0.0,2.0,-4.0
-8.0,4.0,3.0,-1.0,-5.0,-5.0,9.0,3.0,2.0,0.0,2.0,-4.0,0.0
4.0,3.0,-1.0,-5.0,-5.0,9.0,3.0,2.0,0.0,2.0,-4.0,0.0,3.0
3.0,-1.0,-5.0,-5.0,9.0,3.0,2.0,0.0,2.0,-4.0,0.0,3.0,0.0
-1.0,-5.0,-5.0,9.0,3.0,2.0,0.0,2.0,-4.0,0.0,3.0,0.0,3.0
-5.0,-5.0,9.0,3.0,2.0,0.0,2.0,-4.0,0.0,3.0,0.0,3.0,-5.0
-5.0,9.0,3.0,2.0,0.0,2.0,-4.0,0.0,3.0,0.0,3.0,-5.0,3.0
9.0,3.0,2.0,0.0,2.0,-4.0,0.0,3.0,0.0,3.0,-5.0,3.0,-1.0
3.0,2.0,0.0,2.0,-4.0,0.0,3.0,0.0,3.0,-5.0,3.0,-1.0,0.0
2.0,0.0,2.0,-4.0,0.0,3.0,0.0,3.0,-5.0,3.0,-1.0,0.0,-1.0
0.0,2.0,-4.0,0.0,3.0,0.0,3.0,-5.0,3.0,-1.0,0.0,-1.0,-1.0
2.0,-4.0,0.0,3.0,0.0,3.0,-5.0,3.0,-1.0,0.0,-1.0,-1.0,0.0
-4.0,0.0,3.0,0.0,3.0,-5.0,3.0,-1.0,0.0,-1.0,-1.0,0.0,0.0
0.0,3.0,0.0,3.0,-5.0,3.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0
3.0,0.0,3.0,-5.0,3.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0
0.0,3.0,-5.0,3.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0
3.0,-5.0,3.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-3.0
-5.0,3.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-3.0,5.0
3.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-3.0,5.0,-4.0
-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-3.0,5.0,-4.0,-3.0
0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-3.0,5.0,-4.0,-3.0,0.0
-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-3.0,5.0,-4.0,-3.0,0.0,1.0
-1.0,0.0,0.0,1.0,1.0,1.0,-3.0,5.0,-4.0,-3.0,0.0,1.0,6.0
0.0,0.0,1.0,1.0,1.0,-3.0,5.0,-4.0,-3.0,0.0,1.0,6.0,0.0
0.0,1.0,1.0,1.0,-3.0,5.0,-4.0,-3.0,0.0,1.0,6.0,0.0,-2.0
1.0,1.0,1.0,-3.0,5.0,-4.0,-3.0,0.0,1.0,6.0,0.0,-2.0,2.0
1.0,1.0,-3.0,5.0,-4.0,-3.0,0.0,1.0,6.0,0.0,-2.0,2.0,-1.0
1.0,-3.0,5.0,-4.0,-3.0,0.0,1.0,6.0,0.0,-2.0,2.0,-1.0,-2.0
-3.0,5.0,-4.0,-3.0,0.0,1.0,6.0,0.0,-2.0,2.0,-1.0,-2.0,4.0
5.0,-4.0,-3.0,0.0,1.0,6.0,0.0,-2.0,2.0,-1.0,-2.0,4.0,2.0
-4.0,-3.0,0.0,1.0,6.0,0.0,-2.0,2.0,-1.0,-2.0,4.0,2.0,4.0
-3.0,0.0,1.0,6.0,0.0,-2.0,2.0,-1.0,-2.0,4.0,2.0,4.0,-2.0
0.0,1.0,6.0,0.0,-2.0,2.0,-1.0,-2.0,4.0,2.0,4.0,-2.0,2.0
1.0,6.0,0.0,-2.0,2.0,-1.0,-2.0,4.0,2.0,4.0,-2.0,2.0,-2.0
6.0,0.0,-2.0,2.0,-1.0,-2.0,4.0,2.0,4.0,-2.0,2.0,-2.0,0.0
0.0,-2.0,2.0,-1.0,-2.0,4.0,2.0,4.0,-2.0,2.0,-2.0,0.0,-1.0
-2.0,2.0,-1.0,-2.0,4.0,2.0,4.0,-2.0,2.0,-2.0,0.0,-1.0,1.0
2.0,-1.0,-2.0,4.0,2.0,4.0,-2.0,2.0,-2.0,0.0,-1.0,1.0,-1.0
-1.0,-2.0,4.0,2.0,4.0,-2.0,2.0,-2.0,0.0,-1.0,1.0,-1.0,-1.0
-2.0,4.0,2.0,4.0,-2.0,2.0,-2.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0
4.0,2.0,4.0,-2.0,2.0,-2.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0
2.0,4.0,-2.0,2.0,-2.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,-4.0
4.0,-2.0,2.0,-2.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,-4.0,7.0
-2.0,2.0,-2.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,-4.0,7.0,-3.0
2.0,-2.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,-4.0,7.0,-3.0,-1.0
-2.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,-4.0,7.0,-3.0,-1.0,-4.0
0.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,-4.0,7.0,-3.0,-1.0,-4.0,-9.0
-1.0,1.0,-1.0,-1.0,-1.0,2.0,-4.0,7.0,-3.0,-1.0,-4.0,-9.0,6.0
1.0,-1.0,-1.0,-1.0,2.0,-4.0,7.0,-3.0,-1.0,-4.0,-9.0,6.0,14.0
-1.0,-1.0,-1.0,2.0,-4.0,7.0,-3.0,-1.0,-4.0,-9.0,6.0,14.0,1.0
-1.0,-1.0,2.0,-4.0,7.0,-3.0,-1.0,-4.0,-9.0,6.0,14.0,1.0,-1.0
-1.0,2.0,-4.0,7.0,-3.0,-1.0,-4.0,-9.0,6.0,14.0,1.0,-1.0,0.0
2.0,-4.0,7.0,-3.0,-1.0,-4.0,-9.0,6.0,14.0,1.0,-1.0,0.0,2.0
-4.0,7.0,-3.0,-1.0,-4.0,-9.0,6.0,14.0,1.0,-1.0,0.0,2.0,-3.0
7.0,-3.0,-1.0,-4.0,-9.0,6.0,14.0,1.0,-1.0,0.0,2.0,-3.0,4.0
-3.0,-1.0,-4.0,-9.0,6.0,14.0,1.0,-1.0,0.0,2.0,-3.0,4.0,-1.0
-1.0,-4.0,-9.0,6.0,14.0,1.0,-1.0,0.0,2.0,-3.0,4.0,-1.0,-1.0
-4.0,-9.0,6.0,14.0,1.0,-1.0,0.0,2.0,-3.0,4.0,-1.0,-1.0,-1.0
-9.0,6.0,14.0,1.0,-1.0,0.0,2.0,-3.0,4.0,-1.0,-1.0,-1.0,2.0
6.0,14.0,1.0,-1.0,0.0,2.0,-3.0,4.0,-1.0,-1.0,-1.0,2.0,0.0
14.0,1.0,-1.0,0.0,2.0,-3.0,4.0,-1.0,-1.0,-1.0,2.0,0.0,1.0
1.0,-1.0,0.0,2.0,-3.0,4.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,-3.0
-1.0,0.0,2.0,-3.0,4.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,-3.0,-2.0
0.0,2.0,-3.0,4.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,-3.0,-2.0,0.0
2.0,-3.0,4.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,-3.0,-2.0,0.0,1.0
-3.0,4.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,-3.0,-2.0,0.0,1.0,1.0
4.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,-3.0,-2.0,0.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,2.0,0.0,1.0,-3.0,-2.0,0.0,1.0,1.0,1.0,0.0
-1.0,-1.0,2.0,0.0,1.0,-3.0,-2.0,0.0,1.0,1.0,1.0,0.0,0.0
-1.0,2.0,0.0,1.0,-3.0,-2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
2.0,0.0,1.0,-3.0,-2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
0.0,1.0,-3.0,-2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0
1.0,-3.0,-2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,-3.0
-3.0,-2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,-3.0,0.0
-2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,-3.0,0.0,2.0
0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,-3.0,0.0,2.0,-2.0
1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,-3.0,0.0,2.0,-2.0,4.0
1.0,1.0,0.0,0.0,2.0,1.0,3.0,-3.0,0.0,2.0,-2.0,4.0,-1.0
1.0,0.0,0.0,2.0,1.0,3.0,-3.0,0.0,2.0,-2.0,4.0,-1.0,-3.0
0.0,0.0,2.0,1.0,3.0,-3.0,0.0,2.0,-2.0,4.0,-1.0,-3.0,3.0
0.0,2.0,1.0,3.0,-3.0,0.0,2.0,-2.0,4.0,-1.0,-3.0,3.0,8.0
2.0,1.0,3.0,-3.0,0.0,2.0,-2.0,4.0,-1.0,-3.0,3.0,8.0,0.0
1.0,3.0,-3.0,0.0,2.0,-2.0,4.0,-1.0,-3.0,3.0,8.0,0.0,-3.0
3.0,-3.0,0.0,2.0,-2.0,4.0,-1.0,-3.0,3.0,8.0,0.0,-3.0,5.0
-3.0,0.0,2.0,-2.0,4.0,-1.0,-3.0,3.0,8.0,0.0,-3.0,5.0,0.0
0.0,2.0,-2.0,4.0,-1.0,-3.0,3.0,8.0,0.0,-3.0,5.0,0.0,0.0
2.0,-2.0,4.0,-1.0,-3.0,3.0,8.0,0.0,-3.0,5.0,0.0,0.0,-3.0
-2.0,4.0,-1.0,-3.0,3.0,8.0,0.0,-3.0,5.0,0.0,0.0,-3.0,0.0
4.0,-1.0,-3.0,3.0,8.0,0.0,-3.0,5.0,0.0,0.0,-3.0,0.0,0.0
-1.0,-3.0,3.0,8.0,0.0,-3.0,5.0,0.0,0.0,-3.0,0.0,0.0,-3.0
-3.0,3.0,8.0,0.0,-3.0,5.0,0.0,0.0,-3.0,0.0,0.0,-3.0,-3.0
3.0,8.0,0.0,-3.0,5.0,0.0,0.0,-3.0,0.0,0.0,-3.0,-3.0,4.0
8.0,0.0,-3.0,5.0,0.0,0.0,-3.0,0.0,0.0,-3.0,-3.0,4.0,1.0
0.0,-3.0,5.0,0.0,0.0,-3.0,0.0,0.0,-3.0,-3.0,4.0,1.0,3.0
-3.0,5.0,0.0,0.0,-3.0,0.0,0.0,-3.0,-3.0,4.0,1.0,3.0,-13.0
5.0,0.0,0.0,-3.0,0.0,0.0,-3.0,-3.0,4.0,1.0,3.0,-13.0,11.0
0.0,0.0,-3.0,0.0,0.0,-3.0,-3.0,4.0,1.0,3.0,-13.0,11.0,-7.0
0.0,-3.0,0.0,0.0,-3.0,-3.0,4.0,1.0,3.0,-13.0,11.0,-7.0,-1.0
-3.0,0.0,0.0,-3.0,-3.0,4.0,1.0,3.0,-13.0,11.0,-7.0,-1.0,-9.0
0.0,0.0,-3.0,-3.0,4.0,1.0,3.0,-13.0,11.0,-7.0,-1.0,-9.0,5.0
0.0,-3.0,-3.0,4.0,1.0,3.0,-13.0,11.0,-7.0,-1.0,-9.0,5.0,15.0
-3.0,-3.0,4.0,1.0,3.0,-13.0,11.0,-7.0,-1.0,-9.0,5.0,15.0,1.0
-3.0,4.0,1.0,3.0,-13.0,11.0,-7.0,-1.0,-9.0,5.0,15.0,1.0,-2.0
4.0,1.0,3.0,-13.0,11.0,-7.0,-1.0,-9.0,5.0,15.0,1.0,-2.0,2.0
1.0,3.0,-13.0,11.0,-7.0,-1.0,-9.0,5.0,15.0,1.0,-2.0,2.0,0.0
3.0,-13.0,11.0,-7.0,-1.0,-9.0,5.0,15.0,1.0,-2.0,2.0,0.0,3.0
-13.0,11.0,-7.0,-1.0,-9.0,5.0,15.0,1.0,-2.0,2.0,0.0,3.0,3.0
11.0,-7.0,-1.0,-9.0,5.0,15.0,1.0,-2.0,2.0,0.0,3.0,3.0,-1.0
-7.0,-1.0,-9.0,5.0,15.0,1.0,-2.0,2.0,0.0,3.0,3.0,-1.0,-3.0
-1.0,-9.0,5.0,15.0,1.0,-2.0,2.0,0.0,3.0,3.0,-1.0,-3.0,-9.0
-9.0,5.0,15.0,1.0,-2.0,2.0,0.0,3.0,3.0,-1.0,-3.0,-9.0,-11.0
5.0,15.0,1.0,-2.0,2.0,0.0,3.0,3.0,-1.0,-3.0,-9.0,-11.0,0.0
15.0,1.0,-2.0,2.0,0.0,3.0,3.0,-1.0,-3.0,-9.0,-11.0,0.0,3.0
1.0,-2.0,2.0,0.0,3.0,3.0,-1.0,-3.0,-9.0,-11.0,0.0,3.0,5.0
-2.0,2.0,0.0,3.0,3.0,-1.0,-3.0,-9.0,-11.0,0.0,3.0,5.0,3.0
2.0,0.0,3.0,3.0,-1.0,-3.0,-9.0,-11.0,0.0,3.0,5.0,3.0,1.0
0.0,3.0,3.0,-1.0,-3.0,-9.0,-11.0,0.0,3.0,5.0,3.0,1.0,-2.0
3.0,3.0,-1.0,-3.0,-9.0,-11.0,0.0,3.0,5.0,3.0,1.0,-2.0,-3.0
3.0,-1.0,-3.0,-9.0,-11.0,0.0,3.0,5.0,3.0,1.0,-2.0,-3.0,5.0
-1.0,-3.0,-9.0,-11.0,0.0,3.0,5.0,3.0,1.0,-2.0,-3.0,5.0,-2.0
-3.0,-9.0,-11.0,0.0,3.0,5.0,3.0,1.0,-2.0,-3.0,5.0,-2.0,-1.0
-9.0,-11.0,0.0,3.0,5.0,3.0,1.0,-2.0,-3.0,5.0,-2.0,-1.0,2.0
-11.0,0.0,3.0,5.0,3.0,1.0,-2.0,-3.0,5.0,-2.0,-1.0,2.0,3.0
0.0,3.0,5.0,3.0,1.0,-2.0,-3.0,5.0,-2.0,-1.0,2.0,3.0,-4.0
3.0,5.0,3.0,1.0,-2.0,-3.0,5.0,-2.0,-1.0,2.0,3.0,-4.0,4.0
5.0,3.0,1.0,-2.0,-3.0,5.0,-2.0,-1.0,2.0,3.0,-4.0,4.0,1.0
3.0,1.0,-2.0,-3.0,5.0,-2.0,-1.0,2.0,3.0,-4.0,4.0,1.0,-1.0
1.0,-2.0,-3.0,5.0,-2.0,-1.0,2.0,3.0,-4.0,4.0,1.0,-1.0,1.0
-2.0,-3.0,5.0,-2.0,-1.0,2.0,3.0,-4.0,4.0,1.0,-1.0,1.0,3.0
