Category: All categories

Week,Data science: (United States),Machine Learning: (United States),Deep Learning: (United States),Data Analytics: (United States)
2019-08-25,91,87,31,44
2019-09-01,85,77,27,38
2019-09-08,93,85,28,43
2019-09-15,98,100,30,48
2019-09-22,91,90,28,46
2019-09-29,87,88,29,48
2019-10-06,89,97,28,45
2019-10-13,82,90,28,47
2019-10-20,87,86,30,46
2019-10-27,80,89,26,44
2019-11-03,90,90,32,49
2019-11-10,82,90,28,45
2019-11-17,85,88,31,44
2019-11-24,53,67,21,28
2019-12-01,72,86,28,41
2019-12-08,72,82,27,41
2019-12-15,74,75,22,39
2019-12-22,47,55,19,28
2019-12-29,56,55,18,32
2020-01-05,83,79,24,47
2020-01-12,87,85,25,45
2020-01-19,82,83,25,45
2020-01-26,86,91,26,44
2020-02-02,80,92,23,50
2020-02-09,88,87,28,49
2020-02-16,85,92,27,49
2020-02-23,80,92,30,45
2020-03-01,79,80,25,42
2020-03-08,69,74,26,40
2020-03-15,58,66,22,32
2020-03-22,69,65,22,33
2020-03-29,68,68,25,39
2020-04-05,74,74,23,41
2020-04-12,71,77,24,40
2020-04-19,73,78,25,42
2020-04-26,71,83,25,42
2020-05-03,75,81,28,42
2020-05-10,77,78,26,42
2020-05-17,72,75,24,40
2020-05-24,71,71,22,38
2020-05-31,68,73,22,43
2020-06-07,74,76,25,40
2020-06-14,71,74,26,44
2020-06-21,68,73,24,41
2020-06-28,69,70,21,40
2020-07-05,74,79,23,44
2020-07-12,71,83,26,52
2020-07-19,72,79,25,45
2020-07-26,70,76,23,45
2020-08-02,70,73,21,42
2020-08-09,80,80,21,45
2020-08-16,77,75,28,31
